POB1,nom_estado,nom_mun,2006,2007,2008,2009,2010,2011,2012,2013,2014
14454,Puebla,San Gabriel Chilac,0,0,0,0,0,0,0,0,0
8170,Puebla,San Gregorio Atzompa,0,0,0,0,0,0,0,0,0
5826,Puebla,San Jerónimo Tecuanipan,0,0,0,0,0,0,0,0,0
3777,Puebla,San Jerónimo Xayacatlán,0,0,0,0,0,0,0,0,0
8087,Puebla,San José Chiapa,0,0,0,0,0,0,0,0,0
12699,Puebla,San José Miahuatlán,0,0,0,0,0,0,0,0,0
3416,Puebla,San Juan Atenco,0,0,0,0,0,0,0,0,0
872,Puebla,San Juan Atzompa,0,0,0,0,0,0,0,0,0
141112,Puebla,San Martín Texmelucan,0,0,0,0,0,0,6,9,10
651,Puebla,San Martín Totoltepec,0,0,0,0,0,0,0,0,0
19310,Puebla,San Matías Tlalancaleca,0,0,0,0,0,0,0,0,0
586,Puebla,San Miguel Ixitlán,0,0,0,0,0,0,0,0,0
11598,Puebla,San Miguel Xoxtla,0,0,0,0,0,1,0,0,0
9185,Puebla,San Nicolás Buenos Aires,0,0,0,0,0,0,0,0,0
10777,Puebla,San Nicolás de los Ranchos,0,0,0,0,0,0,0,0,0
3554,Puebla,San Pablo Anicano,0,0,0,0,0,0,0,0,0
120459,Puebla,San Pedro Cholula,0,0,0,0,0,3,5,4,10
3395,Puebla,San Pedro Yeloixtlahuaca,0,0,0,0,0,0,0,0,0
27622,Puebla,San Salvador el Seco,0,0,0,0,0,0,0,0,0
28419,Puebla,San Salvador el Verde,0,0,0,0,0,0,0,0,0
13541,Puebla,San Salvador Huixcolotla,0,0,0,0,0,0,0,0,0
13534,Puebla,San Sebastián Tlacotepec,0,0,0,0,0,0,0,0,0
874,Puebla,Santa Catarina Tlaltempan,0,0,0,0,0,0,0,0,0
5944,Puebla,Santa Inés Ahuatempan,0,0,0,1,0,0,0,0,0
8040,Puebla,Santa Isabel Cholula,0,0,0,0,0,0,0,0,0
21993,Puebla,Santiago Miahuatlán,0,0,0,0,0,1,0,0,0
7060,Puebla,Huehuetlán el Grande,0,0,0,0,0,0,0,0,0
8016,Puebla,Santo Tomás Hueyotlipan,0,0,0,0,0,0,0,0,0
11706,Puebla,Soltepec,0,0,0,0,0,0,0,0,0
20267,Puebla,Tecali de Herrera,0,0,0,0,0,0,0,0,0
71571,Puebla,Tecamachalco,0,0,0,0,0,0,0,1,18
5420,Puebla,Tecomatlán,0,0,0,0,0,0,0,0,0
274906,Puebla,Tehuacán,0,0,9,1,0,1,6,15,38
11328,Puebla,Tehuitzingo,0,0,0,0,0,0,0,0,0
6772,Puebla,Tenampulco,0,0,0,0,0,0,0,0,0
4024,Puebla,Teopantlán,0,0,0,0,0,0,0,0,0
3121,Puebla,Teotlalco,0,0,0,0,0,0,0,0,0
19002,Puebla,Tepanco de López,0,0,0,0,0,0,0,0,0
4244,Puebla,Tepango de Rodríguez,0,0,0,0,0,0,0,0,0
